ADCY2,EIF4H,EIF5B,GCNT4,IQGAP1,KLHL4,LIMK1,MED14,MUC4,NSUN5,PDLIM1,SHMT2,SOCS2,SSTR1,WBSCR22,BAZ1B,GLDC,RFC2,GTF2IRD1,HSPB2,CNNM2,SYT1,TBL2,VPS37D,CDKN1C,STX1A,STXBP1,WBSCR27,CRYAB,ODZ1,PPARGC1A,PRLR,Cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77,
0,0,0,0,0,0,0,0,0,0,0,0,0,0.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.265821499,-1.61489463,1.122738638,0.43022826,0.838268931,-0.042190419,-0.231915002,-0.991033772,-0.777023504,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.272039839,0.333600222,0.01566436,0.03143901,-0.17113792,0.206705744,-0.504248285,-1.175592128,-1.008470843,
0,0.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.596031355,0.103502597,-0.181004582,-0.627079553,-0.519997376,-0.328284783,-0.116762641,-0.424458622,-0.501946395,
0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.648547238,-0.438241443,-0.159307326,-0.179737705,-0.297602956,-0.256592251,-0.398059242,-0.472011779,-0.446994536,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.619,0,1,2.302596323,-1.286662931,-0.389437221,-0.461223857,-0.079581163,0.675656818,-0.143415323,-0.352705613,-0.265227032,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432,0,0,1,2.553781039,-0.157238035,-0.414093872,-0.63965456,-0.533441956,-0.636717267,-0.38482889,0.027766076,0.184427464,
0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406,0.502,0,0,0,0.607,0,0,0,0,0,0,0,0,0,1,2.257127571,0.185817815,-0.394082163,0.32805778,-0.412651572,0.31532861,-0.164790242,-1.250857925,-0.863949875,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.959,0,1,2.360967343,-0.128766916,-0.641659098,-0.430326127,-0.492668375,0.445671942,0.355609793,-0.446479646,-1.022348917,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.578347794,0.098745869,-0.00058541,-0.200216039,-0.283979716,-0.46717499,-0.493713176,-0.642475113,-0.588949218,
0,0,0,0,0,0,0.536,0,0,0,0,0,0,0,0.532,0.425,0,0,0.619,0,0,0,0.675,0,0,0.425,0,0,0,0,0,0,1,2.399474545,0.187757481,-0.269666227,0.268404056,-0.107241519,-0.013553329,-0.726382013,-0.793592065,-0.945200929,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.623,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.62785751,-0.389630783,-0.524608964,-0.240627075,-0.525506037,-0.38296486,-0.416800386,-0.105364076,-0.042355329,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.548441522,-0.266609424,-0.384386126,-0.3751164,0.357842912,-0.261827276,-0.660863393,-0.643314607,-0.314167209,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.521698295,-0.876669205,-0.799264258,-0.376620234,-0.17891584,-0.185240327,-0.148525979,-0.013516317,0.057053864,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.63646983,-0.476347799,-0.533056904,-0.354039689,-0.406578514,-0.39283314,-0.259140609,-0.144976859,-0.069496316,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.418090291,-0.873821539,-0.433516834,0.066122135,-0.397652849,-0.846315006,-0.339536049,0.452945409,-0.046315558,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409,0,0,0,0.504,0,0,0,0,0,0,0,0,0,2,1.260771009,1.178226156,1.391647989,-0.618381999,-0.320670886,-0.26082198,-0.626455734,-1.258297903,-0.746016653,
0,0,0,0,0,0,0,0,0,0,0,0.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.843295151,-0.267979211,1.474801958,-0.107037384,-0.401307504,-0.564590425,-0.074929212,-0.794212829,-1.108040544,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.238191457,0.45355185,0.662838797,-0.293280012,-0.062411113,-0.719416306,-0.814637354,-0.759419705,-0.705417614,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401,0,0,0,0,0,0,3,-2.413795111,0.917573908,0.707577795,0.33054212,-0.339716266,0.334294615,0.604884458,-0.31428913,0.172927612,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.877,0,0,0,3,-0.026075575,2.092736057,-0.726046761,-0.219262416,-0.795916336,-1.016599491,-0.457242959,0.069670482,1.078737,
0,0,0,0,0,0,0.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-2.467791319,-0.315417475,0.279622419,0.535673884,0.280147314,0.252821555,1.115995341,0.217231196,0.101717084,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997,0,0,0,0,0,0,4,-1.518810274,-0.551973885,0.619335943,-0.576253704,0.080847156,0.760606334,0.441431233,-0.972135695,1.716952894,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.657,0,0,0,0,0,0,0.504,0,0,0,0,0,0,4,-1.685989199,-0.666066058,-0.738873071,0.224696941,-0.221583733,1.86357786,0.659313018,0.30579822,0.259126022,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505,0,0,0,0,4,-2.167842538,-0.626862395,-0.600815044,0.417911668,0.867501229,0.972513537,0.706277047,0.417757484,0.013559012,
0,0,0,0,0,0,0.931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1.220281388,-0.871340966,-0.720585773,-0.396820263,-0.375097405,0.417143131,1.428669793,1.646426796,0.091886076,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-0.925535926,-0.547580937,-0.917419269,1.796362891,-0.537648416,-0.294076518,-0.300187272,0.222880276,1.50320517,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468,0,0,0,0.999,0,0,0,0,0,0,5,-0.929121637,-1.310560068,-0.727978825,-0.377452194,-0.613755819,0.781141513,0.890890726,0.724271833,1.562564469,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1.622446247,-0.204784987,-1.283393403,0.650105071,0.425205147,-0.421343499,0.063399855,1.074553905,1.318704158,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-0.743819241,-0.743959566,-0.740636681,-0.665966814,-0.645904861,-0.318378261,0.820719781,1.30159414,1.736351503,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.509934806,-1.052706441,-0.861667194,-0.898850086,-0.013562417,0.938717369,-0.729302575,0.202991244,1.904445295,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-0.755973359,-0.397282153,-0.877984021,-0.593438693,-0.777735017,-0.24778341,0.427087126,1.382691873,1.840417654,
0,0,0,0,0,0,0,0,0,0,0,0,0.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-0.608110061,-0.627592887,-0.967478434,-0.79522358,-0.67176447,-0.070075943,0.69736205,1.740385521,1.302497803,
