Gene_Symbol,Day,Value,Cluster
ATP10A,d0,2.573300025,1
ATP10A,d7,-0.346944921,1
ATP10A,d12,-0.517700379,1
ATP10A,d19,-0.460876973,1
ATP10A,d26,-0.418264488,1
ATP10A,d33,-0.559496124,1
ATP10A,d49,-0.476207787,1
ATP10A,d63,-0.040645235,1
ATP10A,d77,0.246835882,1
CDKL5,d0,2.214240735,1
CDKL5,d7,0.709413422,1
CDKL5,d12,-0.163192354,1
CDKL5,d19,-0.921639547,1
CDKL5,d26,-0.380516331,1
CDKL5,d33,-0.126029369,1
CDKL5,d49,-0.207376773,1
CDKL5,d63,-1.226316745,1
CDKL5,d77,0.101416962,1
DOC2A,d0,2.286926867,1
DOC2A,d7,-0.069294298,1
DOC2A,d12,-0.489548779,1
DOC2A,d19,0.771274284,1
DOC2A,d26,-0.268098869,1
DOC2A,d33,-0.012953613,1
DOC2A,d49,-0.478801746,1
DOC2A,d63,-1.111008066,1
DOC2A,d77,-0.628495779,1
GABRA5,d0,2.658957078,1
GABRA5,d7,-0.41202719,1
GABRA5,d12,-0.3787268,1
GABRA5,d19,-0.367655018,1
GABRA5,d26,-0.375447477,1
GABRA5,d33,-0.295920752,1
GABRA5,d49,-0.330761529,1
GABRA5,d63,-0.347781862,1
GABRA5,d77,-0.15063645,1
GABRB3,d0,2.658933175,1
GABRB3,d7,-0.364274625,1
GABRB3,d12,-0.311185872,1
GABRB3,d19,-0.355616939,1
GABRB3,d26,-0.401736235,1
GABRB3,d33,-0.411977528,1
GABRB3,d49,-0.365821083,1
GABRB3,d63,-0.289886981,1
GABRB3,d77,-0.158433912,1
HRAS,d0,2.609768107,1
HRAS,d7,-0.294985293,1
HRAS,d12,-0.372717439,1
HRAS,d19,-0.228364672,1
HRAS,d26,-0.510367888,1
HRAS,d33,-0.656434719,1
HRAS,d49,-0.220469,1
HRAS,d63,-0.405865442,1
HRAS,d77,0.079436345,1
HTR1A,d0,2.666426761,1
HTR1A,d7,-0.311343781,1
HTR1A,d12,-0.338595647,1
HTR1A,d19,-0.332684706,1
HTR1A,d26,-0.344463533,1
HTR1A,d33,-0.344943862,1
HTR1A,d49,-0.34508307,1
HTR1A,d63,-0.338447259,1
HTR1A,d77,-0.310864903,1
HTR3A,d0,2.665114346,1
HTR3A,d7,-0.330933937,1
HTR3A,d12,-0.357061265,1
HTR3A,d19,-0.344203325,1
HTR3A,d26,-0.362526763,1
HTR3A,d33,-0.381488016,1
HTR3A,d49,-0.324277515,1
HTR3A,d63,-0.273227485,1
HTR3A,d77,-0.29139604,1
HTR7,d0,2.648424098,1
HTR7,d7,-0.388587844,1
HTR7,d12,-0.405365679,1
HTR7,d19,-0.376315676,1
HTR7,d26,-0.40957099,1
HTR7,d33,-0.39488549,1
HTR7,d49,-0.372082064,1
HTR7,d63,-0.254007603,1
HTR7,d77,-0.04760875,1
MBP,d0,2.171191182,1
MBP,d7,-0.732464923,1
MBP,d12,-0.688360691,1
MBP,d19,-0.595814804,1
MBP,d26,-0.684968673,1
MBP,d33,-0.479255047,1
MBP,d49,-0.243985092,1
MBP,d63,0.193030218,1
MBP,d77,1.06062783,1
NIPA2,d0,2.534033472,1
NIPA2,d7,0.154624538,1
NIPA2,d12,0.046777227,1
NIPA2,d19,-0.407854805,1
NIPA2,d26,-0.841685382,1
NIPA2,d33,-0.115981532,1
NIPA2,d49,-0.377556655,1
NIPA2,d63,-0.374912469,1
NIPA2,d77,-0.617444395,1
NLGN4X,d0,2.646007589,1
NLGN4X,d7,-0.15664542,1
NLGN4X,d12,-0.223633051,1
NLGN4X,d19,-0.463463334,1
NLGN4X,d26,-0.315997515,1
NLGN4X,d33,-0.408950131,1
NLGN4X,d49,-0.167582527,1
NLGN4X,d63,-0.44245683,1
NLGN4X,d77,-0.467278781,1
NLGN4Y,d0,2.635352068,1
NLGN4Y,d7,-0.263880109,1
NLGN4Y,d12,-0.30005792,1
NLGN4Y,d19,-0.433554891,1
NLGN4Y,d26,-0.188806605,1
NLGN4Y,d33,-0.414808246,1
NLGN4Y,d49,-0.03607493,1
NLGN4Y,d63,-0.492159705,1
NLGN4Y,d77,-0.506009662,1
SLC1A1,d0,2.639521937,1
SLC1A1,d7,-0.210586706,1
SLC1A1,d12,-0.201805694,1
SLC1A1,d19,-0.216024075,1
SLC1A1,d26,-0.183519336,1
SLC1A1,d33,-0.548531171,1
SLC1A1,d49,-0.481378065,1
SLC1A1,d63,-0.307322324,1
SLC1A1,d77,-0.490354566,1
SNRPN,d0,2.651360888,1
SNRPN,d7,-0.446815954,1
SNRPN,d12,-0.34589185,1
SNRPN,d19,-0.317843193,1
SNRPN,d26,-0.521935094,1
SNRPN,d33,-0.173223679,1
SNRPN,d49,-0.203784528,1
SNRPN,d63,-0.317171588,1
SNRPN,d77,-0.324695002,1
ATG4C,d0,2.225511246,2
ATG4C,d7,0.757238156,2
ATG4C,d12,0.359910654,2
ATG4C,d19,-0.340973069,2
ATG4C,d26,-0.305289502,2
ATG4C,d33,-0.352000427,2
ATG4C,d49,-0.686686107,2
ATG4C,d63,-0.54141403,2
ATG4C,d77,-1.116296919,2
DLG3,d0,1.365642766,2
DLG3,d7,1.18754724,2
DLG3,d12,1.012941648,2
DLG3,d19,0.29190102,2
DLG3,d26,-0.125432827,2
DLG3,d33,-1.076653625,2
DLG3,d49,-1.101659856,2
DLG3,d63,-0.869394167,2
DLG3,d77,-0.684892199,2
DOCK4,d0,1.322986745,2
DOCK4,d7,1.822983302,2
DOCK4,d12,0.621635564,2
DOCK4,d19,-0.475993614,2
DOCK4,d26,-0.503745509,2
DOCK4,d33,-0.628410469,2
DOCK4,d49,-0.482850254,2
DOCK4,d63,-0.952605532,2
DOCK4,d77,-0.724000232,2
GLO1,d0,1.857284657,2
GLO1,d7,1.053457915,2
GLO1,d12,0.12989595,2
GLO1,d19,-0.75958284,2
GLO1,d26,-0.058643158,2
GLO1,d33,0.012480412,2
GLO1,d49,-0.23323771,2
GLO1,d63,-0.374100144,2
GLO1,d77,-1.627555083,2
IQCB1,d0,-0.106154064,2
IQCB1,d7,1.262636809,2
IQCB1,d12,1.347802248,2
IQCB1,d19,0.427284612,2
IQCB1,d26,0.298478343,2
IQCB1,d33,0.172423724,2
IQCB1,d49,-0.701438369,2
IQCB1,d63,-1.089067743,2
IQCB1,d77,-1.61196556,2
MTOR,d0,2.155855514,2
MTOR,d7,0.881150361,2
MTOR,d12,0.084394537,2
MTOR,d19,-0.881902709,2
MTOR,d26,-0.45556594,2
MTOR,d33,0.295156595,2
MTOR,d49,-0.550004648,2
MTOR,d63,-0.875840699,2
MTOR,d77,-0.653243012,2
PTER,d0,0.612229971,2
PTER,d7,1.224358019,2
PTER,d12,1.7700766,2
PTER,d19,0.008151761,2
PTER,d26,-0.374667839,2
PTER,d33,-0.872422838,2
PTER,d49,-1.103594912,2
PTER,d63,-0.825005352,2
PTER,d77,-0.439125409,2
UPF3B,d0,0.891142088,2
UPF3B,d7,1.79115682,2
UPF3B,d12,0.719869899,2
UPF3B,d19,-0.037564033,2
UPF3B,d26,0.229376251,2
UPF3B,d33,-0.552995102,2
UPF3B,d49,-0.862347535,2
UPF3B,d63,-1.052533541,2
UPF3B,d77,-1.126104846,2
APBA2,d0,-1.292889265,3
APBA2,d7,2.045867504,3
APBA2,d12,0.466537734,3
APBA2,d19,0.367352742,3
APBA2,d26,0.644759889,3
APBA2,d33,-0.627851663,3
APBA2,d49,-0.263497971,3
APBA2,d63,-0.749951599,3
APBA2,d77,-0.590327371,3
CDH8,d0,-1.332404987,3
CDH8,d7,0.770411086,3
CDH8,d12,1.782876708,3
CDH8,d19,0.060278973,3
CDH8,d26,0.711443113,3
CDH8,d33,0.297916757,3
CDH8,d49,-0.520723163,3
CDH8,d63,-0.793441209,3
CDH8,d77,-0.976357278,3
DLX1,d0,-0.598117939,3
DLX1,d7,-0.581215206,3
DLX1,d12,-0.366720511,3
DLX1,d19,2.577931253,3
DLX1,d26,-0.179539824,3
DLX1,d33,0.046104521,3
DLX1,d49,-0.619464241,3
DLX1,d63,-0.322819113,3
DLX1,d77,0.043841061,3
DRD4,d0,-0.998870519,3
DRD4,d7,0.778947315,3
DRD4,d12,1.709824463,3
DRD4,d19,1.273655046,3
DRD4,d26,-0.066814153,3
DRD4,d33,-0.567753204,3
DRD4,d49,-0.799241555,3
DRD4,d63,-0.658057042,3
DRD4,d77,-0.671690353,3
FMR1,d0,-1.752477276,3
FMR1,d7,0.017280489,3
FMR1,d12,0.103746061,3
FMR1,d19,-0.357079299,3
FMR1,d26,1.686351493,3
FMR1,d33,0.671948411,3
FMR1,d49,0.830014601,3
FMR1,d63,-0.392173382,3
FMR1,d77,-0.807611098,3
GABRB2,d0,-0.713619493,3
GABRB2,d7,1.93853091,3
GABRB2,d12,0.851356156,3
GABRB2,d19,-0.7763461,3
GABRB2,d26,-0.693899953,3
GABRB2,d33,-0.08630258,3
GABRB2,d49,-0.928618476,3
GABRB2,d63,-0.492130301,3
GABRB2,d77,0.901029839,3
GABRG3,d0,-1.803716467,3
GABRG3,d7,0.64376143,3
GABRG3,d12,0.738019444,3
GABRG3,d19,-0.341813735,3
GABRG3,d26,0.621556897,3
GABRG3,d33,-0.847259366,3
GABRG3,d49,-0.890005488,3
GABRG3,d63,0.875706092,3
GABRG3,d77,1.003751194,3
HOXA1,d0,-1.437016889,3
HOXA1,d7,-0.134076271,3
HOXA1,d12,0.071710966,3
HOXA1,d19,1.554904569,3
HOXA1,d26,-0.628807865,3
HOXA1,d33,1.529581589,3
HOXA1,d49,-0.612327229,3
HOXA1,d63,0.231137284,3
HOXA1,d77,-0.575106154,3
HOXB1,d0,-0.47546964,3
HOXB1,d7,2.068180442,3
HOXB1,d12,-0.041408472,3
HOXB1,d19,1.102389459,3
HOXB1,d26,0.278830565,3
HOXB1,d33,-0.535812109,3
HOXB1,d49,-0.798903415,3
HOXB1,d63,-0.798903415,3
HOXB1,d77,-0.798903415,3
IL1RAPL1,d0,-1.395107924,3
IL1RAPL1,d7,1.913934399,3
IL1RAPL1,d12,-0.31196495,3
IL1RAPL1,d19,-0.820139222,3
IL1RAPL1,d26,-0.357702124,3
IL1RAPL1,d33,-0.360063163,3
IL1RAPL1,d49,-0.014984253,3
IL1RAPL1,d63,0.195068516,3
IL1RAPL1,d77,1.150958721,3
LRRN3,d0,-2.049547255,3
LRRN3,d7,1.461260247,3
LRRN3,d12,-0.101357105,3
LRRN3,d19,-0.069003049,3
LRRN3,d26,-0.794901931,3
LRRN3,d33,-0.128700049,3
LRRN3,d49,0.482950176,3
LRRN3,d63,0.754902825,3
LRRN3,d77,0.44439614,3
NDNL2,d0,-2.391036873,3
NDNL2,d7,0.367752156,3
NDNL2,d12,0.170833591,3
NDNL2,d19,0.147434287,3
NDNL2,d26,0.167571299,3
NDNL2,d33,1.119759474,3
NDNL2,d49,-0.460091137,3
NDNL2,d63,0.76897068,3
NDNL2,d77,0.108806523,3
NLGN3,d0,-2.307577594,3
NLGN3,d7,0.038881055,3
NLGN3,d12,0.771316755,3
NLGN3,d19,-0.068843332,3
NLGN3,d26,0.647283054,3
NLGN3,d33,0.083642366,3
NLGN3,d49,1.248539188,3
NLGN3,d63,-0.163613767,3
NLGN3,d77,-0.249627726,3
NPAS4,d0,-0.35456475,3
NPAS4,d7,1.661752681,3
NPAS4,d12,1.844839291,3
NPAS4,d19,-0.402211494,3
NPAS4,d26,-0.657342801,3
NPAS4,d33,-0.474584533,3
NPAS4,d49,-0.435404015,3
NPAS4,d63,-0.562830694,3
NPAS4,d77,-0.619653684,3
NRXN1,d0,-0.614203553,3
NRXN1,d7,1.645720646,3
NRXN1,d12,0.204259984,3
NRXN1,d19,-1.00556937,3
NRXN1,d26,-0.651886804,3
NRXN1,d33,-0.948200643,3
NRXN1,d49,-0.489736752,3
NRXN1,d63,0.396659135,3
NRXN1,d77,1.462957358,3
PVALB,d0,-1.490484068,3
PVALB,d7,0.326901929,3
PVALB,d12,1.937477979,3
PVALB,d19,-0.300524603,3
PVALB,d26,-1.047899824,3
PVALB,d33,0.013529598,3
PVALB,d49,0.78062424,3
PVALB,d63,-0.328544758,3
PVALB,d77,0.108919508,3
RBFOX1,d0,-1.424426406,3
RBFOX1,d7,-0.676632122,3
RBFOX1,d12,1.296786582,3
RBFOX1,d19,0.590030137,3
RBFOX1,d26,1.580640592,3
RBFOX1,d33,-0.109316959,3
RBFOX1,d49,0.087210026,3
RBFOX1,d63,-0.49629567,3
RBFOX1,d77,-0.847996181,3
SLC6A3,d0,-0.442286183,3
SLC6A3,d7,-0.689575077,3
SLC6A3,d12,0.456649927,3
SLC6A3,d19,2.344373059,3
SLC6A3,d26,-0.56226043,3
SLC6A3,d33,-0.604490015,3
SLC6A3,d49,-0.647180228,3
SLC6A3,d63,-0.434265656,3
SLC6A3,d77,0.579034603,3
SLC6A8,d0,-0.692451122,3
SLC6A8,d7,2.627973286,3
SLC6A8,d12,-0.074347997,3
SLC6A8,d19,-0.339780279,3
SLC6A8,d26,-0.389939404,3
SLC6A8,d33,-0.273132475,3
SLC6A8,d49,-0.210829856,3
SLC6A8,d63,-0.403002712,3
SLC6A8,d77,-0.244489441,3
ABAT,d0,-1.414951376,4
ABAT,d7,-1.219256583,4
ABAT,d12,-1.104438487,4
ABAT,d19,-0.097444763,4
ABAT,d26,0.95279923,4
ABAT,d33,0.399321044,4
ABAT,d49,0.956597403,4
ABAT,d63,1.021803912,4
ABAT,d77,0.505569621,4
AHI1,d0,-2.134584657,4
AHI1,d7,-1.000980776,4
AHI1,d12,0.034992913,4
AHI1,d19,0.790529514,4
AHI1,d26,0.084692104,4
AHI1,d33,0.254144174,4
AHI1,d49,0.974861806,4
AHI1,d63,0.88350041,4
AHI1,d77,0.112844513,4
ARX,d0,-1.669674046,4
ARX,d7,-0.234598382,4
ARX,d12,-0.269405478,4
ARX,d19,0.059887662,4
ARX,d26,1.15482116,4
ARX,d33,1.046632088,4
ARX,d49,1.237916998,4
ARX,d63,-0.315719378,4
ARX,d77,-1.009860623,4
AVPR1A,d0,-0.921778897,4
AVPR1A,d7,-1.007411063,4
AVPR1A,d12,-0.534045989,4
AVPR1A,d19,-0.03385553,4
AVPR1A,d26,2.144419545,4
AVPR1A,d33,0.906345722,4
AVPR1A,d49,-0.518767923,4
AVPR1A,d63,-0.299736638,4
AVPR1A,d77,0.264830773,4
CD99L2,d0,-2.254164216,4
CD99L2,d7,-0.224947808,4
CD99L2,d12,-0.509391121,4
CD99L2,d19,-0.064553351,4
CD99L2,d26,0.055433205,4
CD99L2,d33,0.362861887,4
CD99L2,d49,1.034380726,4
CD99L2,d63,0.556057701,4
CD99L2,d77,1.044322977,4
CDH10,d0,-1.488494205,4
CDH10,d7,-1.299137766,4
CDH10,d12,0.777479761,4
CDH10,d19,-0.072989318,4
CDH10,d26,1.809785437,4
CDH10,d33,0.152049837,4
CDH10,d49,0.326319692,4
CDH10,d63,0.07196616,4
CDH10,d77,-0.276979599,4
CDH18,d0,-1.24143866,4
CDH18,d7,-0.966719196,4
CDH18,d12,-0.109885014,4
CDH18,d19,0.392916168,4
CDH18,d26,2.264936292,4
CDH18,d33,0.171053251,4
CDH18,d49,0.07636941,4
CDH18,d63,-0.192676909,4
CDH18,d77,-0.39455534,4
CELF3,d0,-1.515533767,4
CELF3,d7,-1.022699408,4
CELF3,d12,1.635018413,4
CELF3,d19,0.390331184,4
CELF3,d26,-0.425141708,4
CELF3,d33,-0.436392404,4
CELF3,d49,-0.033019733,4
CELF3,d63,0.219525814,4
CELF3,d77,1.187911608,4
CHRNA7,d0,-1.665355537,4
CHRNA7,d7,-0.571910102,4
CHRNA7,d12,0.098728912,4
CHRNA7,d19,-1.293550298,4
CHRNA7,d26,1.083811284,4
CHRNA7,d33,0.715286254,4
CHRNA7,d49,0.766551661,4
CHRNA7,d63,0.96578345,4
CHRNA7,d77,-0.099345624,4
CNTN4,d0,-2.124636948,4
CNTN4,d7,-0.887595013,4
CNTN4,d12,-0.015145595,4
CNTN4,d19,-0.019049293,4
CNTN4,d26,0.231742595,4
CNTN4,d33,0.295923951,4
CNTN4,d49,0.385819518,4
CNTN4,d63,0.808933835,4
CNTN4,d77,1.324006949,4
EN2,d0,-1.046167714,4
EN2,d7,-0.690351427,4
EN2,d12,-0.868262507,4
EN2,d19,1.053318201,4
EN2,d26,-0.407811318,4
EN2,d33,1.946776633,4
EN2,d49,-0.516811877,4
EN2,d63,-0.053276292,4
EN2,d77,0.5825863,4
GABRA4,d0,-1.089659278,4
GABRA4,d7,-1.105562003,4
GABRA4,d12,0.245199117,4
GABRA4,d19,1.306300641,4
GABRA4,d26,-0.267685345,4
GABRA4,d33,1.808708126,4
GABRA4,d49,0.067269596,4
GABRA4,d63,-0.408031965,4
GABRA4,d77,-0.556538888,4
GABRB1,d0,-1.204890137,4
GABRB1,d7,-1.252845824,4
GABRB1,d12,0.58944619,4
GABRB1,d19,1.482529887,4
GABRB1,d26,-0.175842078,4
GABRB1,d33,1.442079008,4
GABRB1,d49,-0.101343907,4
GABRB1,d63,-0.32260274,4
GABRB1,d77,-0.4565304,4
GAMT,d0,-2.478312741,4
GAMT,d7,-0.032649663,4
GAMT,d12,0.318379061,4
GAMT,d19,0.523699778,4
GAMT,d26,0.523119531,4
GAMT,d33,-0.332115267,4
GAMT,d49,0.092496052,4
GAMT,d63,0.438605232,4
GAMT,d77,0.946778016,4
GRIK1,d0,-1.271743259,4
GRIK1,d7,-1.225048957,4
GRIK1,d12,0.046971046,4
GRIK1,d19,0.57066261,4
GRIK1,d26,1.653986069,4
GRIK1,d33,-0.72174691,4
GRIK1,d49,-0.405924751,4
GRIK1,d63,0.34656986,4
GRIK1,d77,1.006274293,4
GRIK2,d0,-1.650542187,4
GRIK2,d7,-1.760621549,4
GRIK2,d12,0.151620533,4
GRIK2,d19,0.847768519,4
GRIK2,d26,0.061132858,4
GRIK2,d33,0.404106102,4
GRIK2,d49,0.602151655,4
GRIK2,d63,0.650836066,4
GRIK2,d77,0.693548004,4
GRIN2B,d0,-1.515426082,4
GRIN2B,d7,0.446629489,4
GRIN2B,d12,-0.167623595,4
GRIN2B,d19,-0.783264687,4
GRIN2B,d26,-0.278738757,4
GRIN2B,d33,-0.248669265,4
GRIN2B,d49,2.1534422,4
GRIN2B,d63,0.260383225,4
GRIN2B,d77,0.133267474,4
NCKAP5L,d0,-0.655943631,4
NCKAP5L,d7,-1.60603055,4
NCKAP5L,d12,-1.028721716,4
NCKAP5L,d19,0.4418426,4
NCKAP5L,d26,-0.350354394,4
NCKAP5L,d33,1.080445722,4
NCKAP5L,d49,1.331521183,4
